Year,R_0,R_high,R_low,SSB,SSB_high,SSB_low,Total_Catch,F_2_6,F_high,F_low,F0_1
1947,34857900,62098800,19566800,5304809,7380551,3812859,581760,0.127,0.182,0.089,0.001
1948,33168700,56007300,19643200,4507224,6214025,3269228,502100,0.115,0.162,0.082,0
1949,27738900,46343700,16603100,4073143,5551502,2988470,508500,0.14,0.195,0.101,0.001
1950,39631100,64907600,24197800,3817484,5100980,2856938,491700,0.148,0.2,0.109,0.003
1951,38360300,62313700,23614600,3376403,4454607,2559170,600400,0.198,0.26,0.15,0.012
1952,38129500,61487000,23645000,3192340,4178525,2438907,664400,0.22,0.29,0.167,0.022
1953,43299000,67662900,27708000,2959020,3865337,2265210,698500,0.23,0.31,0.178,0.036
1954,40509200,63078400,26015200,2702263,3551653,2056007,762900,0.28,0.37,0.21,0.054
1955,34330900,53125000,22185600,2711088,3545086,2073292,806400,0.25,0.33,0.192,0.064
1956,25331400,39220100,16361000,2625707,3426140,2012275,675200,0.25,0.33,0.191,0.072
1957,57963500,90473700,37135300,2376135,3101074,1820665,682900,0.27,0.35,0.21,0.078
1958,24750800,38002200,16120100,2019640,2633536,1548848,670500,0.25,0.32,0.192,0.08
1959,28494500,44979700,18051200,2921352,3781181,2257045,784500,0.3,0.39,0.23,0.114
1960,12367200,19307000,7921910,2512220,3243147,1946027,696200,0.25,0.32,0.191,0.104
1961,53361600,83033700,34292800,2537990,3229781,1994375,696700,0.27,0.35,0.22,0.108
1962,28315700,43209900,18555400,1770623,2282950,1373269,627800,0.32,0.4,0.25,0.071
1963,34500400,52348800,22737400,2790589,3485127,2234463,716000,0.188,0.23,0.152,0.065
1964,34525400,52029100,22910300,2514252,3040190,2079298,871200,0.29,0.35,0.24,0.107
1965,17044600,25712700,11298600,1993503,2368128,1678142,1168800,0.53,0.63,0.45,0.157
1966,18512300,27732700,12357500,1595712,1879707,1354624,895500,0.49,0.58,0.42,0.139
1967,25695900,38685800,17067700,957124,1114612,821887,695500,0.69,0.8,0.6,0.158
1968,22010600,32862400,14742300,524139,612154,448778,717800,1.08,1.23,0.95,0.294
1969,12614000,19100500,8330230,479677,583968,394011,546700,0.88,1.01,0.77,0.162
1970,22028300,33322100,14562300,455651,555124,374003,563100,0.96,1.09,0.85,0.235
1971,17203800,25727400,11504100,285726,345738,236130,520100,1.42,1.6,1.26,0.317
1972,12689600,19112300,8425300,329391,398884,272004,497500,0.62,0.72,0.54,0.265
1973,6837980,10268300,4553640,278904,333878,232982,484000,0.95,1.08,0.83,0.369
1974,10910200,16651300,7148470,191534,227942,160941,275100,0.9,1.03,0.79,0.328
