Year,R_1,R_high,R_low,SSB,SSB_high,SSB_low,Landings,Discards,F_2_6,F_high,F_low
1957,477589,542061,421201,342242,399232,285248,70563,7880,0.24,0.28,0.21
1958,709851,803132,627642,354957,412354,297566,73354,14837,0.28,0.31,0.25
1959,875663,993487,772219,362346,419618,305082,79300,29864,0.31,0.34,0.27
1960,812141,921144,715422,381626,438896,324364,87541,29793,0.32,0.36,0.29
1961,862591,979841,759833,393621,449368,337872,85984,32490,0.33,0.36,0.3
1962,612897,696977,539011,483270,556848,409692,87472,37903,0.34,0.38,0.3
1963,605848,686813,534016,441066,500778,381362,107118,41258,0.36,0.4,0.32
1964,2471860,2778967,2196575,431488,489506,373474,110540,37031,0.39,0.43,0.35
1965,664338,746484,591768,385724,427854,343586,97143,43080,0.39,0.43,0.35
1966,577369,648938,513450,404834,452238,357422,101834,64718,0.37,0.4,0.33
1967,428580,483974,379350,472634,523652,421608,108819,54546,0.35,0.38,0.31
1968,418924,476417,368042,459738,505828,413652,111534,27987,0.35,0.38,0.32
1969,675320,775834,587896,404958,445964,363956,121651,21169,0.36,0.39,0.33
1970,677563,779533,588628,373090,414316,331864,130342,29640,0.37,0.41,0.34
1971,422011,483339,368622,360246,398660,321840,113944,22995,0.38,0.41,0.35
1972,358303,412285,311305,361649,398988,324312,122843,19632,0.39,0.43,0.36
1973,1430910,1647682,1243101,300941,332822,269058,130429,13354,0.43,0.47,0.4
1974,1103680,1283000,949118,302185,330754,273626,112540,44945,0.47,0.51,0.43
1975,793459,933655,674103,306689,333426,279954,108536,86699,0.48,0.53,0.44
1976,664145,783398,562757,328092,353514,302666,113670,53247,0.46,0.49,0.43
1977,1026960,1236399,852805,323400,347332,299468,119188,57501,0.44,0.48,0.41
1978,873543,1037726,734877,324663,347606,301714,113984,45655,0.47,0.5,0.43
1979,916945,1087952,773122,305422,328436,282404,145347,67935,0.52,0.56,0.48
1980,1095220,1287002,931148,323063,347766,298354,140764,31080,0.56,0.6,0.51
1981,1008700,1171911,867919,290624,312390,268850,141233,33031,0.56,0.59,0.52
1982,1927830,2245341,1655530,280775,301992,259568,156153,49127,0.53,0.57,0.49
1983,1351750,1570995,1163310,334269,356508,312032,145779,74483,0.51,0.55,0.48
1984,1291040,1516243,1099377,363590,387498,339682,165772,70816,0.51,0.54,0.48
1985,1838730,2187500,1546848,396845,420882,372818,171838,60549,0.54,0.57,0.5
1986,4434690,5231947,3759160,415131,439916,390344,178878,129953,0.6,0.63,0.56
1987,1902910,2249881,1609786,474638,504978,444302,168759,190524,0.65,0.69,0.6
1988,1745920,2027581,1504011,416753,441316,392184,168552,156423,0.64,0.68,0.6
1989,1251170,1447994,1081987,441588,468520,414660,178891,107793,0.6,0.63,0.57
1990,1110280,1286987,957601,398657,420108,377212,169453,71225,0.58,0.62,0.54
1991,1001720,1164148,861560,365521,385295,345745,157277,80935,0.6,0.64,0.57
1992,839808,982441,717985,315454,332929,297971,136727,57049,0.63,0.67,0.59
1993,535299,617627,464334,277411,292841,261979,128506,35016,0.61,0.64,0.57
1994,575317,660098,501749,233483,248002,218958,121925,23785,0.57,0.6,0.54
1995,1001170,1153812,869278,229063,244309,213811,109348,21828,0.57,0.62,0.53
1996,925946,1064703,805964,214555,230715,198385,91386,52049,0.64,0.68,0.6
1997,2390280,2712893,2106364,213890,232003,195777,92958,100145,0.71,0.76,0.65
1998,791741,892482,702386,241452,261428,221472,79810,103751,0.68,0.73,0.62
1999,714473,808107,631309,228090,248708,207472,89726,70976,0.6,0.65,0.55
2000,891133,1017704,779915,249438,273770,225110,90754,44311,0.54,0.59,0.49
2001,638896,731623,557367,255574,282740,228400,92912,100309,0.54,0.59,0.49
2002,1791150,2056722,1558721,243596,273634,213566,79178,55099,0.55,0.61,0.49
2003,589990,677604,513848,273686,311326,236054,74722,79275,0.5,0.56,0.44
2004,1308480,1500010,1140546,268931,312684,225176,70511,57478,0.41,0.47,0.36
2005,913606,1054303,791441,299784,351374,248186,62796,56250,0.34,0.39,0.28
2006,927631,1058551,812270,340645,402604,278676,67143,64160,0.29,0.33,0.24
2007,1461350,1672109,1277485,353442,420398,286482,58576,42373,0.25,0.3,0.21
2008,1210210,1375935,1063798,449571,536998,362142,58336,46993,0.22,0.25,0.176
2009,1128760,1284058,992978,551534,662598,440462,62360,45902,0.182,0.22,0.149
2010,1501900,1710359,1318211,673527,811358,535702,70340,46570,0.166,0.198,0.134
2011,1641860,1859853,1448432,700043,845594,554486,76507,41593,0.169,0.2,0.138
2012,1334070,1507848,1180922,747104,904192,590008,82018,59914,0.18,0.21,0.147
2013,1389650,1568606,1232188,850184,1027680,672680,86222,40025,0.186,0.22,0.153
2014,1460730,1651829,1290585,977692,1187190,768190,80686,52937,0.185,0.22,0.154
2015,911173,1043013,795222,905332,1100966,709694,85360,49100,0.193,0.23,0.16
2016,952119,1088353,832197,966389,1182870,749910,92744,44205,0.22,0.25,0.182
2017,1314950,1526045,1132355,1019257,1255520,783080,74928,39361,0.24,0.28,0.2
2018,862519,1033945,720073,959080,1191320,726840,57800,47987,0.23,0.28,0.193
2019,2147830,2718036,1697352,871071,1079710,662430,48745,37346,0.194,0.23,0.159
2020,1390640,2012604,960357,905056,1117880,692240,40888,38097,0.149,0.182,0.116
2021,1263947,NA,NA,1002918,NA,NA,NA,NA,NA,NA,NA
