Year,R_3,R_high,R_low,SSB,SSB_high,SSB_low,Landings,Discards,F_4_7,F_high,F_low,
1967,141089,197983,100544,152157,191910,120638,88339,12992,0.35,0.45,0.28,
1968,161066,222467,116612,209694,260670,168688,113741,20818,0.3,0.38,0.23,
1969,284618,393169,206037,275978,338775,224821,130580,19713,0.32,0.4,0.26,
1970,292306,401232,212952,345461,417271,286009,235012,35817,0.35,0.43,0.28,
1971,354885,482397,261078,460472,554731,382230,265356,43821,0.38,0.46,0.31,
1972,223862,302274,165791,488880,585148,408450,261914,34567,0.41,0.49,0.34,
1973,201393,271640,149313,520691,623120,435100,242513,32651,0.43,0.52,0.36,
1974,199985,269986,148133,576387,686454,483969,298347,38674,0.5,0.59,0.42,
1975,234780,315393,174771,517286,617547,433304,271610,33035,0.53,0.63,0.45,
1976,409407,559158,299762,399145,479281,332407,343898,79449,0.6,0.71,0.5,
1977,148463,200946,109687,325855,391934,270916,216393,23520,0.59,0.71,0.49,
1978,120589,162743,89354,297083,358769,246003,155124,21727,0.48,0.58,0.4,
1979,87000,117858,64220,278199,332185,232986,128352,14295,0.45,0.54,0.38,
1980,85247,115497,62920,260607,308819,219921,131897,13392,0.48,0.57,0.4,
1981,162764,222053,119306,249047,293697,211186,132273,15971,0.47,0.57,0.4,
1982,140710,189821,104305,219768,255631,188935,174336,27775,0.54,0.64,0.46,
1983,147846,199573,109526,220003,256559,188655,180040,22978,0.65,0.77,0.55,
1984,257046,347632,190065,188325,218677,162185,200843,39723,0.68,0.79,0.58,
1985,359692,491334,263320,165577,191294,143317,220870,52802,0.7,0.82,0.6,
1986,289076,390617,213931,156663,180637,135871,198605,34190,0.73,0.86,0.62,
1987,148255,200245,109764,165372,190699,143409,167503,24877,0.71,0.83,0.6,
1988,137847,185512,102428,154784,180414,132796,135176,19076,0.71,0.83,0.61,
1989,102041,137511,75721,126134,146484,108610,108892,15707,0.69,0.81,0.59,
1990,151289,204206,112084,113904,132530,97896,103831,20619,0.66,0.77,0.56,
1991,175748,236570,130564,106632,123388,92153,108071,22902,0.63,0.74,0.54,
1992,102977,137917,76888,112232,129154,97527,99745,15792,0.61,0.72,0.52,
1993,177601,238529,132235,118955,137796,102689,111499,21119,0.64,0.76,0.54,
1994,118545,159018,88373,123621,143263,106671,109621,17138,0.57,0.68,0.49,
1995,212660,287999,157029,142904,166480,122667,121795,19395,0.58,0.69,0.49,
1996,117718,159375,86949,154032,178994,132550,114968,13928,0.51,0.61,0.43,
1997,151334,206296,111016,191359,225935,162074,107348,12755,0.45,0.53,0.37,
1998,89503,124065,64569,189136,222792,160564,106126,11096,0.45,0.53,0.38,
1999,118060,160966,86591,200308,236177,169886,110531,8936,0.47,0.56,0.39,
2000,101270,137810,74419,194362,227054,166377,85781,8014,0.41,0.49,0.34,
2001,201421,277270,146321,197910,230022,170281,91741,11118,0.39,0.47,0.32,
2002,150151,204126,110448,216544,251877,186167,110911,18936,0.43,0.51,0.35,
2003,157142,213873,115460,202253,236942,172643,110282,11374,0.45,0.54,0.37,
2004,111772,150975,82749,249787,292415,213372,107356,6436,0.39,0.47,0.32,
2005,139655,190850,102193,241160,279794,207860,118625,2592,0.39,0.47,0.32,
2006,98787,135938,71790,256097,297763,220262,120414,8297,0.4,0.48,0.34,
2007,153319,216096,108779,239997,279767,205880,94958,11375,0.39,0.47,0.32,
2008,72344,97754,53538,243151,282949,208951,121618,8269,0.44,0.53,0.37,
2009,56582,76535,41830,241012,282588,205553,110972,3548,0.46,0.55,0.38,
2010,88254,119538,65157,226343,267263,191689,102128,2595,0.44,0.53,0.37,
2011,81176,111644,59022,182692,215541,154849,98034,3972,0.44,0.53,0.37,
2012,133296,180270,98563,166751,197246,140970,78144,8905,0.42,0.5,0.35,
2013,91239,123400,67460,170951,201983,144687,79859,7412,0.38,0.46,0.32,
2014,56033,76489,41047,189913,223741,161200,76057,6115,0.37,0.45,0.31,
2015,94763,129548,69318,195498,230351,165918,76748,4697,0.37,0.45,0.31,
2016,117456,160276,86077,181261,213960,153559,67620,10052,0.37,0.45,0.31,
2017,80693,111197,58556,199348,235572,168693,88010,6572,0.41,0.5,0.34,
2018,41095,57421,29411,194749,228795,165769,88328,7118,0.45,0.54,0.37,
2019,52781,77394,35995,184317,217971,155858,92390,4244,0.49,0.61,0.39,
2020,31492,54730,18121,159269,194791,130225,73791,3029,0.45,0.59,0.35,
2021,71483,NA,NA,137513,184655,101145,NA,NA,NA,NA,NA,
